             Tau     Tau_gorrito               y
   2.5000000E+00   3.6086626E+00             NaN
   2.5050000E+00   3.6136626E+00             NaN
   2.5100000E+00   3.6186626E+00             NaN
   2.5150000E+00   3.6236626E+00             NaN
   2.5200000E+00   3.6286626E+00             NaN
   2.5250000E+00   3.6336626E+00             NaN
   2.5300000E+00   3.6386626E+00             NaN
   2.5350000E+00   3.6436626E+00             NaN
   2.5400000E+00   3.6486626E+00             NaN
   2.5450000E+00   3.6536626E+00             NaN
   2.5500000E+00   3.6586626E+00             NaN
   2.5550000E+00   3.6636626E+00             NaN
   2.5600000E+00   3.6686626E+00             NaN
   2.5650000E+00   3.6736626E+00             NaN
   2.5700000E+00   3.6786626E+00             NaN
   2.5750000E+00   3.6836626E+00             NaN
   2.5800000E+00   3.6886626E+00             NaN
   2.5850000E+00   3.6936626E+00             NaN
   2.5900000E+00   3.6986626E+00             NaN
   2.5950000E+00   3.7036626E+00             NaN
   2.6000000E+00   3.7086626E+00             NaN
   2.6050000E+00   3.7136626E+00             NaN
   2.6100000E+00   3.7186626E+00             NaN
   2.6150000E+00   3.7236626E+00             NaN
   2.6200000E+00   3.7286626E+00             NaN
   2.6250000E+00   3.7336626E+00             NaN
   2.6300000E+00   3.7386626E+00             NaN
   2.6350000E+00   3.7436626E+00             NaN
   2.6400000E+00   3.7486626E+00             NaN
   2.6450000E+00   3.7536626E+00             NaN
   2.6500000E+00   3.7586626E+00             NaN
   2.6550000E+00   3.7636626E+00             NaN
   2.6600000E+00   3.7686626E+00             NaN
   2.6650000E+00   3.7736626E+00             NaN
   2.6700000E+00   3.7786626E+00             NaN
   2.6750000E+00   3.7836626E+00             NaN
   2.6800000E+00   3.7886626E+00             NaN
   2.6850000E+00   3.7936626E+00             NaN
   2.6900000E+00   3.7986626E+00             NaN
   2.6950000E+00   3.8036626E+00             NaN
   2.7000000E+00   3.8086626E+00             NaN
   2.7050000E+00   3.8136626E+00             NaN
   2.7100000E+00   3.8186626E+00             NaN
   2.7150000E+00   3.8236626E+00             NaN
   2.7200000E+00   3.8286626E+00             NaN
   2.7250000E+00   3.8336626E+00             NaN
   2.7300000E+00   3.8386626E+00             NaN
   2.7350000E+00   3.8436626E+00             NaN
   2.7400000E+00   3.8486626E+00             NaN
   2.7450000E+00   3.8536626E+00             NaN
   2.7500000E+00   3.8586626E+00             NaN
   2.7550000E+00   3.8636626E+00             NaN
   2.7600000E+00   3.8686626E+00             NaN
   2.7650000E+00   3.8736626E+00             NaN
   2.7700000E+00   3.8786626E+00             NaN
   2.7750000E+00   3.8836626E+00             NaN
   2.7800000E+00   3.8886626E+00             NaN
   2.7850000E+00   3.8936626E+00             NaN
   2.7900000E+00   3.8986626E+00             NaN
   2.7950000E+00   3.9036626E+00             NaN
   2.8000000E+00   3.9086626E+00             NaN
   2.8050000E+00   3.9136626E+00             NaN
   2.8100000E+00   3.9186626E+00             NaN
   2.8150000E+00   3.9236626E+00             NaN
   2.8200000E+00   3.9286626E+00             NaN
   2.8250000E+00   3.9336626E+00             NaN
   2.8300000E+00   3.9386626E+00             NaN
   2.8350000E+00   3.9436626E+00             NaN
   2.8400000E+00   3.9486626E+00             NaN
   2.8450000E+00   3.9536626E+00             NaN
   2.8500000E+00   3.9586626E+00             NaN
   2.8550000E+00   3.9636626E+00             NaN
   2.8600000E+00   3.9686626E+00             NaN
   2.8650000E+00   3.9736626E+00             NaN
   2.8700000E+00   3.9786626E+00             NaN
   2.8750000E+00   3.9836626E+00             NaN
   2.8800000E+00   3.9886626E+00             NaN
   2.8850000E+00   3.9936626E+00             NaN
   2.8900000E+00   3.9986626E+00             NaN
   2.8950000E+00   4.0036626E+00             NaN
   2.9000000E+00   4.0086626E+00             NaN
   2.9050000E+00   4.0136626E+00             NaN
   2.9100000E+00   4.0186626E+00             NaN
   2.9150000E+00   4.0236626E+00             NaN
   2.9200000E+00   4.0286626E+00             NaN
   2.9250000E+00   4.0336626E+00             NaN
   2.9300000E+00   4.0386626E+00             NaN
   2.9350000E+00   4.0436626E+00             NaN
   2.9400000E+00   4.0486626E+00             NaN
   2.9450000E+00   4.0536626E+00             NaN
   2.9500000E+00   4.0586626E+00             NaN
   2.9550000E+00   4.0636626E+00             NaN
   2.9600000E+00   4.0686626E+00             NaN
   2.9650000E+00   4.0736626E+00             NaN
   2.9700000E+00   4.0786626E+00             NaN
   2.9750000E+00   4.0836626E+00             NaN
   2.9800000E+00   4.0886626E+00             NaN
   2.9850000E+00   4.0936626E+00             NaN
   2.9900000E+00   4.0986626E+00             NaN
   2.9950000E+00   4.1036626E+00             NaN
   3.0000000E+00   4.1086626E+00             NaN
   3.0050000E+00   4.1136626E+00             NaN
   3.0100000E+00   4.1186626E+00             NaN
   3.0150000E+00   4.1236626E+00             NaN
   3.0200000E+00   4.1286626E+00             NaN
